id,slot_value,personality,ground_truth,FVN-,FVN without Control,FVN
0,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , right , nameVariable is a eatTypeVariable , it is a foodVariable eatTypeVariable in areaVariable , also nameVariable is familyFriendlyVariable , and it 's kind of near nearVariable okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable and it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . oh , it is a foodVariable restaurant in areaVariable near nearVariable , also it is a eatTypeVariable , also it is n't somewhat familyFriendlyVariable , you ?","let 's see , nameVariable ... i , , it is a foodVariable restaurant near nearVariable in areaVariable , also it is n't somewhat familyFriendlyVariable , and it 's a eatTypeVariable , you see ?"
1,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn familyFriendlyVariable , also it 's near nearVariable . it is a foodVariable place . nameVariable is a eatTypeVariable . nameVariable is in areaVariable .","oh , i mean , everybody knows that nameVariable is a foodVariable place , also it is near nearVariable .",it 's a foodVariable place in areaVariable . nameVariable is n't damn familyFriendlyVariable . it is a eatTypeVariable . it is near nearVariable .,nameVariable is a foodVariable place in areaVariable . it is a eatTypeVariable . it is n't damn familyFriendlyVariable . it is near nearVariable .
2,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , i suppose it is a foodVariable eatTypeVariable in areaVariable . it is a eatTypeVariable and it is familyFriendlyVariable , also it 's sort of near nearVariable .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable and priceRangeVariable priced","let 's see what we can find on nameVariable . well , i see it is a foodVariable restaurant in areaVariable near nearVariable , it is a eatTypeVariable and it is familyFriendlyVariable .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable in areaVariable , it is a eatTypeVariable and it is familyFriendlyVariable ."
3,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh oh god i am not sure . nameVariable is a foodVariable place in areaVariable and it is familyFriendlyVariable , also it 's near nearVariable , also it is a eatTypeVariable , buddy .","oh god i do n't know . nameVariable is a foodVariable place kind of near nearVariable , also it is a eatTypeVariable ,","oh god i am not sure . nameVariable is a foodVariable place in areaVariable near nearVariable , it is a eatTypeVariable and it is n't damn familyFriendlyVariable !","oh god i , i do n't know . nameVariable is a foodVariable place near nearVariable in areaVariable , it is a eatTypeVariable and it is familyFriendlyVariable ."
4,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a eatTypeVariable , you know , it is familyFriendlyVariable mate , it 's near nearVariable , nameVariable is a foodVariable place and it is in areaVariable !","nameVariable is a foodVariable place , it is near nearVariable , it is familyFriendlyVariable , you know and it 's a eatTypeVariable !","nameVariable is a foodVariable place in areaVariable near nearVariable , it is a eatTypeVariable and it is familyFriendlyVariable , you know friend !","nameVariable is a foodVariable place near nearVariable in areaVariable , it is a eatTypeVariable and it is familyFriendlyVariable , you know pal !"
5,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... i see , i guess nameVariable is a eatTypeVariable , also it is n't rather familyFriendlyVariable , also it 's a foodVariable restaurant , it has a customerRatingVariable rating , also it is priceRangeVariable in areaVariable , and it is near nearVariable , okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable with a rather customerRatingVariable rating , you know , alright ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable restaurant in areaVariable near nearVariable , also it is n't somewhat familyFriendlyVariable , and it costs priceRangeVariable , you ?","let 's see , nameVariable ... oh , it is a eatTypeVariable with a customerRatingVariable rating , also it is somewhat priceRangeVariable priced and an foodVariable restaurant near nearVariable in areaVariable , and it is familyFriendlyVariable , alright ?"
6,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"i mean , i thought everybody knew that nameVariable is a foodVariable place with a customerRatingVariable rating . it is in areaVariable , also it is damn priceRangeVariable , and it 's near nearVariable . it 's a eatTypeVariable . it is familyFriendlyVariable .","nameVariable is a foodVariable place , also it is near nearVariable . it has a damn customerRatingVariable rating .",nameVariable is a foodVariable place with a customerRatingVariable rating . it 's a eatTypeVariable . it is familyFriendlyVariable . it is in areaVariable . it is near nearVariable . it has a price range of priceRangeVariable .,"nameVariable is a eatTypeVariable , also it is familyFriendlyVariable , also it 's a foodVariable restaurant . it has like , a customerRatingVariable rating . it is near nearVariable . it is in areaVariable . it is familyFriendlyVariable ."
7,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see nameVariable is familyFriendlyVariable with a customerRatingVariable rating and it 's a eatTypeVariable , also it is priceRangeVariable in areaVariable . it is a foodVariable restaurant sort of near nearVariable .","let 's see what we can find on nameVariable . i see , well it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable , also it 's an foodVariable restaurant in areaVariable and priceRangeVariable near nearVariable .","let 's see , nameVariable ... i see , well it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable and it 's a foodVariable restaurant and areaVariable near nearVariable and priceRangeVariable ."
8,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . darn priceRangeVariable nameVariable is it 's a eatTypeVariable , also it is kind of in areaVariable , it is a foodVariable place near nearVariable , also nameVariable is familyFriendlyVariable , and the rating is damn customerRatingVariable..","oh god i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable , i mean .","oh god i am not sure . nameVariable is a foodVariable place in areaVariable near nearVariable and priceRangeVariable priced , also it is a eatTypeVariable , also it has like , a customerRatingVariable rating , and it is familyFriendlyVariable .","oh god i , i do n't know . nameVariable is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable place and priceRangeVariable priced near nearVariable , also it is familyFriendlyVariable , also it 's in areaVariable ."
9,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a foodVariable place in areaVariable near nearVariable and priceRangeVariable buddy , nameVariable is familyFriendlyVariable and it 's a eatTypeVariable , also it has a customerRatingVariable rating , you know !","nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , you know buddy !","nameVariable is a eatTypeVariable , it is in areaVariable , it is familyFriendlyVariable , it 's a foodVariable place near nearVariable , it has a customerRatingVariable rating , you know and it has a price range of priceRangeVariable !","nameVariable is a eatTypeVariable , it is a foodVariable place , it is priceRangeVariable priced , it 's a customerRatingVariable rating , it is familyFriendlyVariable , it 's in areaVariable and it is near nearVariable , you know !"
