id,slot_value,personality,ground_truth,FVN-,FVN without Control,FVN
0,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , right , nameVariable is a eatTypeVariable , it is a foodVariable eatTypeVariable in areaVariable , also nameVariable is familyFriendlyVariable , and it 's kind of near nearVariable okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable and it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . oh , it is a foodVariable restaurant in areaVariable near nearVariable , also it is a eatTypeVariable , also it is n't somewhat familyFriendlyVariable , you ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable , also it is a foodVariable restaurant in areaVariable near nearVariable , and it is n't somewhat familyFriendlyVariable , you see ?"
1,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn familyFriendlyVariable , also it 's near nearVariable . it is a foodVariable place . nameVariable is a eatTypeVariable . nameVariable is in areaVariable .","oh , i mean , everybody knows that nameVariable is a foodVariable place , also it is near nearVariable .",it 's a foodVariable place in areaVariable . nameVariable is n't damn familyFriendlyVariable . it is a eatTypeVariable . it is near nearVariable .,moderately priced nameVariable is it is a foodVariable place in areaVariable . it 's a eatTypeVariable . it 's near nearVariable . it 's a eatTypeVariable.. oh god actually .
2,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , i suppose it is a foodVariable eatTypeVariable in areaVariable . it is a eatTypeVariable and it is familyFriendlyVariable , also it 's sort of near nearVariable .","let 's see , nameVariable ... i see , well it is a foodVariable restaurant near nearVariable and priceRangeVariable priced","let 's see what we can find on nameVariable . well , i see it is a foodVariable restaurant in areaVariable near nearVariable , it is a eatTypeVariable and it is familyFriendlyVariable .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable , it is familyFriendlyVariable , it 's a foodVariable restaurant in areaVariable near nearVariable ."
3,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh oh god i am not sure . nameVariable is a foodVariable place in areaVariable and it is familyFriendlyVariable , also it 's near nearVariable , also it is a eatTypeVariable , buddy .","oh god i do n't know . nameVariable is a foodVariable place kind of near nearVariable , also it is a eatTypeVariable ,","oh god i am not sure . nameVariable is a foodVariable place in areaVariable near nearVariable , it is a eatTypeVariable and it is n't damn familyFriendlyVariable !","oh god i , i am not sure . nameVariable is a eatTypeVariable , also it is a foodVariable place in areaVariable , also it is familyFriendlyVariable , also it 's kind of near nearVariable ."
4,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a eatTypeVariable , you know , it is familyFriendlyVariable mate , it 's near nearVariable , nameVariable is a foodVariable place and it is in areaVariable !","nameVariable is a foodVariable place , it is near nearVariable , it is familyFriendlyVariable , you know and it 's a eatTypeVariable !","nameVariable is a foodVariable place in areaVariable near nearVariable , it is a eatTypeVariable and it is familyFriendlyVariable , you know friend !","nameVariable is a eatTypeVariable , it is familyFriendlyVariable , it 's a foodVariable place in areaVariable and it is near nearVariable , you know pal !"
5,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... i see , i guess nameVariable is a eatTypeVariable , also it is n't rather familyFriendlyVariable , also it 's a foodVariable restaurant , it has a customerRatingVariable rating , also it is priceRangeVariable in areaVariable , and it is near nearVariable , okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable with a rather customerRatingVariable rating , you know , alright ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable with a customerRatingVariable rating , also it is a foodVariable restaurant in areaVariable near nearVariable , also it is n't somewhat familyFriendlyVariable , and it costs priceRangeVariable , you ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable with a customerRatingVariable rating , it is n't somewhat familyFriendlyVariable , it 's an foodVariable restaurant and areaVariable and it is priceRangeVariable priced near nearVariable , you see ?"
6,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"i mean , i thought everybody knew that nameVariable is a foodVariable place with a customerRatingVariable rating . it is in areaVariable , also it is damn priceRangeVariable , and it 's near nearVariable . it 's a eatTypeVariable . it is familyFriendlyVariable .","nameVariable is a foodVariable place , also it is near nearVariable . it has a damn customerRatingVariable rating .",nameVariable is a foodVariable place with a customerRatingVariable rating . it 's a eatTypeVariable . it is familyFriendlyVariable . it is in areaVariable . it is near nearVariable . it has a price range of priceRangeVariable .,"oh god i mean , everybody knows that nameVariable is a eatTypeVariable with a customerRatingVariable rating . it is a foodVariable place . it 's a eatTypeVariable . it is familyFriendlyVariable . it is in areaVariable . it is near nearVariable ."
7,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see nameVariable is familyFriendlyVariable with a customerRatingVariable rating and it 's a eatTypeVariable , also it is priceRangeVariable in areaVariable . it is a foodVariable restaurant sort of near nearVariable .","let 's see what we can find on nameVariable . i see , well it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating .","let 's see what we can find on nameVariable . well , i see it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable , also it 's an foodVariable restaurant in areaVariable and priceRangeVariable near nearVariable .","did you say nameVariable ? well , i see it is a eatTypeVariable with a customerRatingVariable rating , it is familyFriendlyVariable and it 's a foodVariable restaurant in areaVariable and priceRangeVariable priced near nearVariable ."
8,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . darn priceRangeVariable nameVariable is it 's a eatTypeVariable , also it is kind of in areaVariable , it is a foodVariable place near nearVariable , also nameVariable is familyFriendlyVariable , and the rating is damn customerRatingVariable..","oh god i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , also it is a eatTypeVariable , i mean .","oh god i am not sure . nameVariable is a foodVariable place in areaVariable near nearVariable and priceRangeVariable priced , also it is a eatTypeVariable , also it has like , a customerRatingVariable rating , and it is familyFriendlyVariable .","i am not sure . nameVariable is a eatTypeVariable , it is darn priceRangeVariable priced in areaVariable , it is a , a customerRatingVariable rating , and it is familyFriendlyVariable , also it 's a foodVariable place kind of near nearVariable ."
9,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a foodVariable place in areaVariable near nearVariable and priceRangeVariable buddy , nameVariable is familyFriendlyVariable and it 's a eatTypeVariable , also it has a customerRatingVariable rating , you know !","nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating , you know buddy !","nameVariable is a eatTypeVariable , it is in areaVariable , it is familyFriendlyVariable , it 's a foodVariable place near nearVariable , it has a customerRatingVariable rating , you know and it has a price range of priceRangeVariable !","nameVariable is a eatTypeVariable , it is familyFriendlyVariable , it 's a foodVariable place , it is priceRangeVariable priced , it 's in areaVariable , it is a customerRatingVariable rating , you know and it is near nearVariable !"
10,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . yeah , right it is a eatTypeVariable with a customerRatingVariable rating , also it is rather priceRangeVariable priced , also it 's a foodVariable restaurant in areaVariable and familyFriendlyVariable near nearVariable , okay ?","let 's see , nameVariable ... ok , it is a foodVariable restaurant near nearVariable with a rather customerRatingVariable rating , you know , alright ?","let 's see what we can find on nameVariable . yeah , it is a eatTypeVariable with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , familyFriendlyVariable and rather priceRangeVariable priced near nearVariable , alright ?","let 's see what we can find on nameVariable . right , it is a eatTypeVariable with a customerRatingVariable rating , also it is somewhat foodVariable restaurant , areaVariable , rather priceRangeVariable priced and familyFriendlyVariable near nearVariable , you know , okay ?"
