id,slot_value,personality,ground_truth,TOKEN,FVN-,FVN
0,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , right , nameVariable is a eatTypeVariable , it is a fast food eatTypeVariable in city centre , also nameVariable is n't kid friendly , and it 's kind of near nearVariable okay ?","let 's see what ? can find on nameVariable . a foodVariable restaurant in city , , it it , it it is it it it it , , , , , , , , , , , ?","let 's see , nameVariable ... right , it is a foodVariable restaurant near nearVariable and rather moderately priced , also it is a eatTypeVariable , you know , you see ?","let 's see , nameVariable ... right , it is a coffee shop , also it is a foodVariable restaurant near nearVariable in areaVariable , and it is n't somewhat kid friendly ,"
1,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn family friendly , also it 's near nearVariable . it is a fast food place . nameVariable is a eatTypeVariable . nameVariable is in city centre .","nameVariable priced , is it is in it is it it is it it is it is it is it is it is is is . . . . . . . . .",nameVariable is a foodVariable place and it is a eatTypeVariable .,"nameVariable is a coffee shop , also it is n't damn family friendly . it is in city centre . it is near nearVariable . it is a foodVariable place ."
2,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , i suppose it is a fast food eatTypeVariable in city centre . it is a eatTypeVariable and it is n't family friendly , also it 's sort of near nearVariable .","let 's see what we can find on nameVariable . i , , is it is it it , , it it is it it it it it it is it is friendly . . .","let 's see , nameVariable ... well , i see it is a eatTypeVariable , also it is a foodVariable place and","let 's see , nameVariable ... i see , well it is a coffee shop , also it is a foodVariable restaurant near nearVariable in areaVariable , and it is n't kid friendly ."
3,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh oh god i am not sure . nameVariable is a fast food place in city centre and it is n't family friendly , also it 's near nearVariable , also it is a eatTypeVariable , buddy .","oh , i , i am not sure . nameVariable is a foodVariable place , it it nearVariable , , , , it it is it it , , it it is is . .","oh god yeah , i do n't know . nameVariable is a eatTypeVariable , also it is a foodVariable place ,","oh god oh gosh i do n't know . nameVariable is a coffee shop , also it is a foodVariable place in areaVariable , also it is n't kid friendly , and it"
4,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a eatTypeVariable , you know , it is n't family friendly mate , it 's near nearVariable , nameVariable is a fast food place and it is in city centre !","nameVariable is a foodVariable friendly , it is is it foodVariable place , nearVariable , it it is it is , , is , , , , , !","nameVariable is a eatTypeVariable , you know , it is a foodVariable place and","nameVariable is a coffee shop , it is in city centre , it is n't family friendly , you know and it 's a foodVariable place near"
5,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... i see , i guess nameVariable is a eatTypeVariable , also it is n't rather family friendly , also it 's a foodVariable restaurant , it has a customerRatingVariable rating , also it is priceRangeVariable in areaVariable , and it is near nearVariable , okay ?","let 's see what ? can find ? nameVariable . a , shop with a customerRatingVariable rating , , it is , , , , , it , , , , , , , , , , , , , , , , , , ? , ?","let 's see what we can find on nameVariable . ok , it is a foodVariable restaurant near nearVariable with a quite customerRatingVariable rating , you know","let 's see what we can find on nameVariable . oh , it is n't somewhat family friendly with a customerRatingVariable rating , also it is a foodVariable restaurant in areaVariable , also it is a coffee shop , also it is moderately priced sort of near nearVariable ,"
6,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"i mean , i thought everybody knew that nameVariable is a foodVariable place with a customerRatingVariable rating . it is in areaVariable , also it is damn priceRangeVariable , and it 's near nearVariable . it 's a eatTypeVariable . it is n't kid friendly .","nameVariable is a foodVariable everybody , is nameVariable is is is is it it it it is it it it it it is it is it it is it is it it it is it is . . . . . . .",nameVariable is a foodVariable place with a damn customerRatingVariable rating . it is a eatTypeVariable .,"nameVariable is a coffee shop , also it is n't family friendly . it is near nearVariable . it is in city centre . it has like , a customerRatingVariable rating . it is an foodVariable restaurant . it has a price range of £20-25 ."
7,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see nameVariable is n't family friendly with a customerRatingVariable rating and it 's a eatTypeVariable , also it is priceRangeVariable in areaVariable . it is a foodVariable restaurant sort of near nearVariable .","let 's see what we can find on nameVariable . i see , is a is customerRatingVariable rating , it it is a , , , it it , , it it it is it is it is it is it .","let 's see , nameVariable ... well , i see it is a foodVariable restaurant near nearVariable with a customerRatingVariable rating and it is a eatTypeVariable .","let 's see what we can find on nameVariable . i see , well it is a coffee shop with a customerRatingVariable rating , also it is n't foodVariable restaurant in areaVariable near nearVariable , also it is n't kid friendly , and it has a price range of £20-25 ."
8,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . darn priceRangeVariable nameVariable is it 's a eatTypeVariable , also it is kind of in areaVariable , it is a foodVariable place near nearVariable , also nameVariable is n't kid friendly , and the rating is damn excellent..","oh god i am i am not sure . nameVariable is a coffee shop , a customerRatingVariable rating , , , it it , , , , , , , , , , , it it , it it is is it is .","oh god yeah , i do n't know . nameVariable is a foodVariable place near nearVariable with a customerRatingVariable rating ,","oh god oh gosh i do n't know . nameVariable is a coffee shop , also it is a foodVariable place , also it is n't kid friendly , also it 's darn expensive in city centre , also it has a customerRatingVariable rating , and it is near nearVariable ."
9,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a foodVariable place in areaVariable near nearVariable and priceRangeVariable buddy , nameVariable is n't family friendly and it 's a eatTypeVariable , also it has a customerRatingVariable rating , you know !","nameVariable is a coffee shop , it customerRatingVariable rating , , , , , , , , , , , , , , , , , , it it , , is is , , is is is ,","nameVariable is a foodVariable place near nearVariable , it has a customerRatingVariable rating , you","nameVariable is a coffee shop , it is a foodVariable place , it is n't kid friendly , it 's in city centre , it is near nearVariable , you know , it has a customerRatingVariable rating and"
