id,slot_value,personality,ground_truth,FVN without Control,FVN
0,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , right , nameVariable is a restaurant , it is a fast food restaurant in city centre , also nameVariable is n't kid friendly , and it 's kind of near nearVariable okay ?","you want to know more about nameVariable ? right , it is a fast food restaurant in city centre near nearVariable , it is a pub , also it is n't somewhat rather kid friendly , alright ?",
1,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn family friendly , also it 's near nearVariable . it is a fast food place . nameVariable is a restaurant . nameVariable is in city centre .","moderately priced nameVariable is it is n't damn kid friendly , also it 's a fast food restaurant . it is a pub . it is in city centre . it 's near nearVariable.. obviously , basically .",
2,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , i suppose it is a fast food restaurant in city centre . it is a restaurant and it is n't family friendly , also it 's sort of near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in city centre near nearVariable , it is a pub and it is n't somewhat kid friendly .",
3,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh oh god i am not sure . nameVariable is a fast food place in city centre and it is n't family friendly , also it 's near nearVariable , also it is a restaurant , buddy .","oh gosh i do n't know . nameVariable is a fast food place in city centre near nearVariable , also it is n't damn kid friendly , and it 's a pub !",
4,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a restaurant , you know , it is n't family friendly mate , it 's near nearVariable , nameVariable is a fast food place and it is in city centre !","nameVariable is a pub , it is a fast food place in city centre near nearVariable and it is n't kid friendly , you know friend !",
5,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... i see , i guess nameVariable is a pub , also it is n't rather family friendly , also it 's a japanese restaurant , it has a excellent rating , also it is cheap in riverside , and it is near nearVariable , okay ?","let 's see , nameVariable ... find on nameVariable . well , it is a japanese restaurant in riverside near nearVariable and cheap with a excellent rating , it is n't somewhat family friendly and it 's a pub , you see ?",
6,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"i mean , i thought everybody knew that nameVariable is a japanese place with a excellent rating . it is in riverside , also it is damn cheap , and it 's near nearVariable . it 's a pub . it is n't kid friendly .","nameVariable is a japanese restaurant , also it is cheap . it is a riverside . it is a nearVariable . it is a damn excellent rating . it is a pub . it is n't kid friendly .",
7,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see nameVariable is n't family friendly with a excellent rating and it 's a pub , also it is cheap in riverside . it is a japanese restaurant sort of near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in riverside near nearVariable and cheap with a excellent rating , it is n't kid friendly and it 's a pub .",
8,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . darn cheap nameVariable is it 's a pub , also it is kind of in riverside , it is a japanese place near nearVariable , also nameVariable is n't kid friendly , and the rating is damn excellent..","oh god i do n't know . nameVariable is a japanese place in riverside and cheap near nearVariable with a excellent rating , also it is n't damn kid friendly , and it is a pub !",
9,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a japanese place in riverside near nearVariable and cheap buddy , nameVariable is n't family friendly and it 's a pub , also it has a excellent rating , you know !","nameVariable is a japanese place in riverside near nearVariable and cheap , it is a excellent rating , it is n't kid friendly and it 's a pub , you know pal !",
10,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"let 's see what we can find on nameVariable . yeah , right it is a pub with a mediocre rating , also it is rather moderately priced , also it 's a fast food restaurant in city centre and kid friendly near nearVariable , okay ?","let 's see what we can find on nameVariable . right , it is a pub with a mediocre rating , also it is somewhat moderately priced , in city centre , friendly near nearVariable and a fast food restaurant , alright ?",
11,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is moderately priced , also it 's just family friendly , and this restaurant is in city centre . it is a fast food place . it is a pub . it is near nearVariable . it has like , a mediocre rating .","nameVariable is a fast food restaurant , also it is moderately priced . it is a city centre . it is a nearVariable . it is a friendly . it is a pub . it has like , a mediocre rating .",
12,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"you want to know more about nameVariable ? nameVariable is a pub with a mediocre rating , also it is a fast food restaurant in city centre near nearVariable , kid friendly and moderately priced .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in city centre , moderately priced near nearVariable and kid friendly with a mediocre rating , also it is a pub .",
13,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",unconscientiousness,"oh god err ... i am not sure . i mean , nameVariable is a pub with a mediocre rating , and it is a fast food place , near nearVariable kid friendly in city centre and moderately priced .","oh god i do n't know . nameVariable is a pub with a mediocre rating , also it is darn moderately priced , city centre , a fast food place near nearVariable and kid friendly ,",
14,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""fast food"", ""priceRange"": ""moderate"", ""customerRating"": ""mediocre"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",extravert,"nameVariable is a fast food place , moderately priced and damn family friendly buddy , nameVariable is a pub , it has a mediocre rating , also it is near nearVariable , and it is in city centre .","nameVariable is a mediocre rating , it is a fast food place , it is moderately priced , it 's a city centre , it is a pub , you know and it is moderately priced near nearVariable .",
15,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",agreeable,"you want to know more about nameVariable ? right , well , nameVariable has a excellent rating , also nameVariable is a pub , also it is a japanese restaurant , kid friendly near nearVariable and rather cheap in city centre , you see ?","let 's see what we can find on nameVariable . well , it is a japanese restaurant in city centre , cheap and near nearVariable and cheap with a excellent rating , also it is a pub , you know , okay ?",
16,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is cheap with a excellent rating . it 's near nearVariable . it is damn kid friendly , also it is a pub , also it is a japanese restaurant , also it is in city centre .","i mean , i thought everybody knew that nameVariable is a japanese restaurant , also it is a . it is a city centre . it is a nearVariable . it is a friendly . it is a , a excellent rating . it is a pub .",
17,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""city centre"", ""familyFriendly"": ""yes"", ""near"": ""nearVariable""}",conscientiousness,"let 's see , nameVariable ... i see , well , i think that nameVariable is cheap , a japanese restaurant near nearVariable in city centre and kid friendly with a excellent rating , also it is a pub .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in city centre , cheap near nearVariable and kid friendly with a excellent rating and it is a pub .",
