id,slot_value,personality,ground_truth,FVN without Control,FVN
0,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... yeah , right , nameVariable is a restaurant , it is a fast food restaurant in city centre , also nameVariable is n't kid friendly , and it 's kind of near nearVariable okay ?","you want to know more about nameVariable ? right , it is a fast food restaurant in city centre near nearVariable , it is a pub , also it is n't somewhat rather kid friendly , alright ?","let 's see , nameVariable ... oh , it is a fast food restaurant in city centre near nearVariable , also it is a restaurant , also it is n't somewhat rather family friendly , alright ?"
1,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"nameVariable is n't damn family friendly , also it 's near nearVariable . it is a fast food place . nameVariable is a restaurant . nameVariable is in city centre .","moderately priced nameVariable is it is n't damn kid friendly , also it 's a fast food restaurant . it is a pub . it is in city centre . it 's near nearVariable.. obviously , basically .","it 's a fast food place , also nameVariable is near nearVariable . it is n't damn family friendly . it is in city centre . it is a restaurant ."
2,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? i see , i suppose it is a fast food restaurant in city centre . it is a restaurant and it is n't family friendly , also it 's sort of near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a fast food restaurant in city centre near nearVariable , it is a pub and it is n't somewhat kid friendly .","you want to know more about nameVariable ? i see , well it is a fast food place in city centre near nearVariable , it is a restaurant and it is n't family friendly ."
3,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"oh gosh oh god i am not sure . nameVariable is a fast food place in city centre and it is n't family friendly , also it 's near nearVariable , also it is a restaurant , buddy .","oh gosh i do n't know . nameVariable is a fast food place in city centre near nearVariable , also it is n't damn kid friendly , and it 's a pub !","oh gosh i do n't know . nameVariable is a fast food place in city centre near nearVariable , also it is a damn family friendly , also it 's a restaurant !"
4,"{""name"": ""nameVariable"", ""eatType"": ""restaurant"", ""food"": ""fast food"", ""area"": ""city centre"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a restaurant , you know , it is n't family friendly mate , it 's near nearVariable , nameVariable is a fast food place and it is in city centre !","nameVariable is a pub , it is a fast food place in city centre near nearVariable and it is n't kid friendly , you know friend !","nameVariable is a fast food place in city centre near nearVariable , it is n't family friendly , you know and it 's a restaurant pal !"
5,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",agreeable,"let 's see , nameVariable ... i see , i guess nameVariable is a pub , also it is n't rather family friendly , also it 's a japanese restaurant , it has a excellent rating , also it is cheap in riverside , and it is near nearVariable , okay ?","let 's see , nameVariable ... find on nameVariable . well , it is a japanese restaurant in riverside near nearVariable and cheap with a excellent rating , it is n't somewhat family friendly and it 's a pub , you see ?","let 's see , nameVariable ... oh , it is a japanese restaurant and cheap in riverside with a excellent rating , also it is a pub , also it is n't somewhat family friendly , and it 's near nearVariable , alright ?"
6,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",disagreeable,"i mean , i thought everybody knew that nameVariable is a japanese place with a excellent rating . it is in riverside , also it is damn cheap , and it 's near nearVariable . it 's a pub . it is n't kid friendly .","nameVariable is a japanese restaurant , also it is cheap . it is a riverside . it is a nearVariable . it is a damn excellent rating . it is a pub . it is n't kid friendly .","oh god basically , everybody knows that nameVariable is a japanese place with a excellent rating . it is near nearVariable , also it is cheap . it is in riverside . it is n't family friendly . it is a coffee shop ."
7,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",conscientiousness,"did you say nameVariable ? well , i see nameVariable is n't family friendly with a excellent rating and it 's a pub , also it is cheap in riverside . it is a japanese restaurant sort of near nearVariable .","let 's see what we can find on nameVariable . well , i see it is a japanese restaurant in riverside near nearVariable and cheap with a excellent rating , it is n't kid friendly and it 's a pub .","let 's see , nameVariable ... well , i see it is a japanese restaurant and cheap in riverside with a excellent rating , also it is n't family friendly , and it 's a pub , also it is sort of near nearVariable ."
8,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",unconscientiousness,"i am not sure . darn cheap nameVariable is it 's a pub , also it is kind of in riverside , it is a japanese place near nearVariable , also nameVariable is n't kid friendly , and the rating is damn excellent..","oh god i do n't know . nameVariable is a japanese place in riverside and cheap near nearVariable with a excellent rating , also it is n't damn kid friendly , and it is a pub !","oh gosh i do n't know . nameVariable is a pub , also it is a japanese place , also it is n't damn family friendly , also it 's a japanese place near nearVariable in riverside , also it has a excellent rating ."
9,"{""name"": ""nameVariable"", ""eatType"": ""pub"", ""food"": ""Japanese"", ""priceRange"": ""cheap"", ""customerRating"": ""excellent"", ""area"": ""riverside"", ""familyFriendly"": ""no"", ""near"": ""nearVariable""}",extravert,"nameVariable is a japanese place in riverside near nearVariable and cheap buddy , nameVariable is n't family friendly and it 's a pub , also it has a excellent rating , you know !","nameVariable is a japanese place in riverside near nearVariable and cheap , it is a excellent rating , it is n't kid friendly and it 's a pub , you know pal !","nameVariable is a japanese place and cheap in riverside , it is n't kid friendly , the rating is excellent , it is near nearVariable and it is a pub , you know ."
