network : copy_seq2seq
cuda_device : 0
seed : 0
spv_proportion : 100
truncated : False
domain : personage
dialog_path : data/dialogue/PersonageNLG/train.json
slot_path : data/dialogue/PersonageNLG/slot_value.json
personality_path : data/dialogue/PersonageNLG/personality.json
split : 3
grad_clip_norm : 1.0
max_turn : 100
emb_size : 64
hidden_size : 64
lr : 0.001
lr_decay : 0.9
batch_size : 32
dropout_rate : 0.0
epoch_num : 100
cuda : False
early_stop_count : 30
vocab_size : None
remove_slot_value : True
encoder_layer_num : 1
beam_search : False
beam_size : 5
beam_len_bonus : 0.5
teacher_force : True
model_path : ./models/copy_seq2seq_personage.pkl
result_path : ./results/copy_seq2seq_personage.csv
vocab_path : ./vocabs/personage_wValue.p
slot_max_ts : 29
text_max_ts : 62
personality_size : 5
mode : train
START_CSV_SECTION
dial_id,slot_value,slot_seq,slot_value_seq,personality,delex_text,text,pred_delex_text,pred_text
7038,"{'name': 'nameVariable', 'food': 'French', 'priceRange': 'high'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'french', 'EOS_food', 'price', 'range', 'high', 'EOS_priceRange', 'EOS_A']",conscientiousness,"['you', 'want', 'to', 'know', 'more', 'about', 'nameVariable', '?', 'well', ',', 'i', 'see', 'it', 'is', 'expensive', 'and', 'a', 'foodVariable', 'restaurant', '.', 'EOS']","['you', 'want', 'to', 'know', 'more', 'about', 'nameVariable', '?', 'well', ',', 'i', 'see', 'it', 'is', 'expensive', 'and', 'a', 'french', 'restaurant', '.', 'EOS']","['nameVariable', 'is', 'see', ',', 'nameVariable', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', ',', 'foodVariable', 'is', 'and', 'foodVariable', 'a', 'restaurant', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
11494,"{'name': 'nameVariable', 'food': 'Chinese', 'priceRange': 'high'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'chinese', 'EOS_food', 'price', 'range', 'high', 'EOS_priceRange', 'EOS_A']",extravert,"['nameVariable', 'is', 'a', 'foodVariable', 'place', 'friend', 'and', 'it', 'is', 'expensive', ',', 'you', 'know', '!', 'EOS']","['nameVariable', 'is', 'a', 'chinese', 'place', 'friend', 'and', 'it', 'is', 'expensive', ',', 'you', 'know', '!', 'EOS']","['nameVariable', 'is', 'see', ',', 'nameVariable', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', ',', 'foodVariable', 'is', 'and', 'foodVariable', 'a', 'restaurant', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
11102,"{'name': 'nameVariable', 'priceRange': 'high', 'customerRating': 'average'}","['name', 'nameVariable', 'EOS_name', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'customer', 'rating', 'customerRatingVariable', 'EOS_customerRating', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'price', 'range', 'high', 'EOS_priceRange', 'customer', 'rating', 'average', 'EOS_customerRating', 'EOS_A']",disagreeable,"['nameVariable', 'is', 'expensive', 'with', 'an', 'customerRatingVariable', 'rating', '.', 'oh', 'god', 'come', 'on', '.', 'EOS']","['nameVariable', 'is', 'expensive', 'with', 'an', 'average', 'rating', '.', 'oh', 'god', 'come', 'on', '.', 'EOS']","['let', ""'s"", 'see', ',', 'i', 'can', 'find', ',', 'nameVariable', '.', 'is', ',', ',', 'with', 'a', 'customerRatingVariable', 'rating', 'rating', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
2539,"{'name': 'nameVariable', 'food': 'French', 'area': 'city centre'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'area', 'areaVariable', 'EOS_area', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'french', 'EOS_food', 'area', 'city centre', 'EOS_area', 'EOS_A']",disagreeable,"['oh', 'god', 'nameVariable', 'is', 'a', 'foodVariable', 'restaurant', 'and', 'it', 'is', 'in', 'city', 'centre', '.', 'EOS']","['oh', 'god', 'nameVariable', 'is', 'a', 'french', 'restaurant', 'and', 'it', 'is', 'in', 'city', 'centre', '.', 'EOS']","['nameVariable', 'is', 'see', 'foodVariable', 'i', ',', 'find', 'is', '.', 'nameVariable', 'is', ',', 'foodVariable', 'is', 'in', 'areaVariable', 'in', 'in', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
4356,"{'name': 'nameVariable', 'food': 'Italian', 'area': 'city centre'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'area', 'areaVariable', 'EOS_area', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'italian', 'EOS_food', 'area', 'city centre', 'EOS_area', 'EOS_A']",conscientiousness,"['let', ""'s"", 'see', 'what', 'we', 'can', 'find', 'on', '.', 'well', ',', 'nameVariable', 'is', 'an', 'foodVariable', 'restaurant', 'sort', 'of', 'in', 'city', 'centre', '.', 'EOS']","['let', ""'s"", 'see', 'what', 'we', 'can', 'find', 'on', '.', 'well', ',', 'nameVariable', 'is', 'an', 'italian', 'restaurant', 'sort', 'of', 'in', 'city', 'centre', '.', 'EOS']","['nameVariable', 'is', 'see', 'foodVariable', 'i', ',', 'find', 'on', '.', 'nameVariable', 'is', ',', 'foodVariable', 'is', 'in', 'in', 'in', 'in', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
12762,"{'name': 'nameVariable', 'priceRange': 'moderate', 'familyFriendly': 'yes'}","['name', 'nameVariable', 'EOS_name', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'price', 'range', 'moderate', 'EOS_priceRange', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']",extravert,"['nameVariable', 'is', 'family', 'friendly', 'and', 'moderately', 'priced', 'and', 'it', ""'s"", 'a', 'restaurant', 'pal', ',', 'you', 'know', '!', 'EOS']","['nameVariable', 'is', 'family', 'friendly', 'and', 'moderately', 'priced', 'and', 'it', ""'s"", 'a', 'restaurant', 'pal', ',', 'you', 'know', '!', 'EOS']","['let', ""'s"", 'see', ',', 'nameVariable', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', ',', ',', 'it', 'is', 'friendly', 'friendly', 'friendly', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
9522,"{'name': 'nameVariable', 'food': 'Indian', 'familyFriendly': 'yes'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'indian', 'EOS_food', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']",disagreeable,"['i', 'mean', ',', 'i', 'thought', 'everybody', 'knew', 'that', 'nameVariable', 'is', 'damn', 'kid', 'friendly', ',', 'also', 'it', ""'s"", 'an', 'foodVariable', 'restaurant', '.', 'EOS']","['i', 'mean', ',', 'i', 'thought', 'everybody', 'knew', 'that', 'nameVariable', 'is', 'damn', 'kid', 'friendly', ',', 'also', 'it', ""'s"", 'an', 'indian', 'restaurant', '.', 'EOS']","['nameVariable', 'is', 'see', ',', 'more', 'about', 'nameVariable', '?', 'nameVariable', ',', 'is', ',', ',', 'friendly', 'and', 'it', 'it', 'foodVariable', '.', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
1680,"{'name': 'nameVariable', 'priceRange': 'cheap', 'familyFriendly': 'yes'}","['name', 'nameVariable', 'EOS_name', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'price', 'range', 'cheap', 'EOS_priceRange', 'family', 'friendly', 'yes', 'EOS_familyFriendly', 'EOS_A']",disagreeable,"['basically', ',', 'everybody', 'knows', 'that', 'it', ""'s"", 'a', 'restaurant', 'and', 'nameVariable', 'is', 'priceRangeVariable', '.', 'it', 'is', 'damn', 'family', 'friendly', '.', 'EOS']","['basically', ',', 'everybody', 'knows', 'that', 'it', ""'s"", 'a', 'restaurant', 'and', 'nameVariable', 'is', 'cheap', '.', 'it', 'is', 'damn', 'family', 'friendly', '.', 'EOS']","['nameVariable', ""'s"", 'see', ',', 'nameVariable', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', ',', ',', 'friendly', 'it', 'it', 'friendly', 'friendly', 'of', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
6494,"{'name': 'nameVariable', 'food': 'Japanese', 'priceRange': 'moderate'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'price', 'range', 'priceRangeVariable', 'EOS_priceRange', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'japanese', 'EOS_food', 'price', 'range', 'moderate', 'EOS_priceRange', 'EOS_A']",unconscientiousness,"['oh', 'god', 'yeah', ',', 'i', 'do', ""n't"", 'know', '.', 'nameVariable', 'is', 'darn', 'moderately', 'priced', 'and', 'a', 'foodVariable', 'place', '.', 'EOS']","['oh', 'god', 'yeah', ',', 'i', 'do', ""n't"", 'know', '.', 'nameVariable', 'is', 'darn', 'moderately', 'priced', 'and', 'a', 'japanese', 'place', '.', 'EOS']","['nameVariable', 'is', 'see', ',', 'i', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', 'is', 'foodVariable', 'place', 'and', 'a', 'a', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
4483,"{'name': 'nameVariable', 'food': 'fast food', 'customerRating': 'excellent'}","['name', 'nameVariable', 'EOS_name', 'food', 'foodVariable', 'EOS_food', 'customer', 'rating', 'customerRatingVariable', 'EOS_customerRating', 'EOS_A']","['name', 'namevariable', 'EOS_name', 'food', 'fast food', 'EOS_food', 'customer', 'rating', 'excellent', 'EOS_customerRating', 'EOS_A']",agreeable,"['let', ""'s"", 'see', 'what', 'we', 'can', 'find', 'on', 'nameVariable', '.', 'right', ',', 'it', 'has', 'a', 'quite', 'customerRatingVariable', 'rating', ',', 'also', 'it', 'is', 'a', 'fast', 'food', 'restaurant', ',', 'you', 'know', ',', 'okay', '?', 'EOS']","['let', ""'s"", 'see', 'what', 'we', 'can', 'find', 'on', 'nameVariable', '.', 'right', ',', 'it', 'has', 'a', 'quite', 'excellent', 'rating', ',', 'also', 'it', 'is', 'a', 'fast', 'food', 'restaurant', ',', 'you', 'know', ',', 'okay', '?', 'EOS']","['nameVariable', ""'s"", 'see', 'foodVariable', 'place', '...', 'nameVariable', ',', 'nameVariable', '.', 'is', 'a', 'foodVariable', 'place', 'with', 'a', 'customerRatingVariable', 'rating', 'rating', 'EOS', 'customerRatingVariable', 'rating', '.', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS', 'EOS']",[]
